Algorithm,time_taken,num_selected,total_features,accuracy,precision
Leukemia1,40.69159150123596,360,5327,0.6504761904761904,0.3461538461538461
DLBCL,42.034414768218994,732,5469,0.8308333333333333,0.7736842105263158
Brain1,72.34164190292358,947,5920,0.888888888888889,0.7394736842105263
Prostate,31.961462020874023,505,5966,0.6771428571428572,0.703781512605042
Nic9,101.41550469398499,602,9712,0.4833333333333333,0.41875
Leukemia3,52.38162636756897,742,11225,0.7085714285714285,0.7916666666666666
CLL_SUB,85.84409952163696,2671,11340,0.5035573122529644,0.6666666666666666
Lung-Cancer,95.23621940612793,1060,12600,0.8375609756097562,0.8052536231884058
SMK-CAN-187,109.61522006988525,2543,19993,0.587624466571835,0.6525000000000001
GLI-85,90.62858009338379,2492,22283,0.8235294117647058,0.8594771241830066
Leukemia1,50.44923186302185,417,5327,0.6228571428571429,0.3461538461538461
DLBCL,67.18974947929382,1729,5469,0.8183333333333334,0.7222222222222222
Brain1,59.273778200149536,380,5920,0.7777777777777779,0.5111111111111111
Prostate,34.22915554046631,579,5966,0.667142857142857,0.7125
Nic9,109.89045667648315,800,9712,0.5166666666666667,0.4375
Leukemia3,59.46976900100708,1088,11225,0.7771428571428572,0.7671957671957671
CLL_SUB,87.72992968559265,2026,11340,0.49446640316205526,0.6892911010558068
Lung-Cancer,108.83166265487671,1207,12600,0.8180487804878049,0.6231884057971013
SMK-CAN-187,96.20366930961609,1654,19993,0.5988620199146515,0.6723484848484849
GLI-85,118.0512523651123,3930,22283,0.788235294117647,0.7375
Leukemia1,13.859057903289795,510,5327,0.6352380952380952,0.7142857142857143
DLBCL,13.647782802581787,662,5469,0.7791666666666667,0.6848739495798319
Brain1,21.34790277481079,465,5920,0.8333333333333333,0.6708333333333333
Prostate,12.664599657058716,585,5966,0.6480952380952382,0.76890756302521
Nic9,45.03969407081604,917,9712,0.5,0.4785714285714286
Leukemia3,19.39581799507141,1120,11225,0.7771428571428572,0.7671957671957671
CLL_SUB,21.368616104125977,1311,11340,0.5399209486166008,0.6888888888888888
Lung-Cancer,34.48779225349426,1063,12600,0.8226829268292682,0.7803571428571427
SMK-CAN-187,33.51106309890747,2247,19993,0.5930298719772404,0.6525000000000001
GLI-85,42.928553104400635,6246,22283,0.8117647058823529,0.7375
Leukemia1,15.29954218864441,849,5327,0.7180952380952381,0.5366300366300366
DLBCL,15.246383905410767,1094,5469,0.8183333333333334,0.65625
Brain1,23.770649909973145,867,5920,0.8777777777777779,0.712280701754386
Prostate,11.655725002288818,577,5966,0.667142857142857,0.7125
Nic9,41.903210163116455,677,9712,0.45,0.4555555555555555
Leukemia3,20.58422565460205,1578,11225,0.8047619047619048,0.7916666666666666
CLL_SUB,26.594647884368896,2531,11340,0.5039525691699603,0.6666666666666666
Lung-Cancer,36.522863149642944,1337,12600,0.8032926829268293,0.6065248226950354
SMK-CAN-187,31.83380103111267,2028,19993,0.5933143669985775,0.6566496163682864
GLI-85,30.378440856933594,2706,22283,0.8235294117647058,0.8594771241830066
Leukemia1,15.624742269515991,805,5327,0.7047619047619047,0.746031746031746
DLBCL,14.39713191986084,879,5469,0.805,0.6848739495798319
Brain1,23.365187168121338,814,5920,0.8777777777777779,0.712280701754386
Prostate,10.981781721115112,357,5966,0.6676190476190477,0.7125
Nic9,41.23265194892883,625,9712,0.45,0.4
Leukemia3,18.35910677909851,919,11225,0.7504761904761905,0.7671957671957671
CLL_SUB,25.155683755874634,2264,11340,0.5130434782608695,0.6444444444444445
Lung-Cancer,34.546475648880005,1192,12600,0.8032926829268293,0.7801418439716311
SMK-CAN-187,29.31108021736145,1510,19993,0.5988620199146515,0.688125
GLI-85,29.718942880630493,2522,22283,0.8235294117647058,0.8594771241830066
